date,cik,file_type,gvkey,cusip,year,rf_sentiment_score,mgmt_sentiment_score
20050103,16099,10Q,6831.0,549282101,2005,0.0,0.0
20050103,779544,10K,11872.0,040712101,2005,0.0,0.0
20050103,831641,10K,24783.0,88162G103,2005,0.0,0.0
20050103,866415,10K,61721.0,459412102,2005,0.0,-0.1376488906772513
20050103,1141240,10Q,146117.0,53634X100,2005,0.0,-0.4874776270654466
20050104,6845,10Q,1686.0,037598109,2005,0.0,-0.39863114271845135
20050104,62234,10Q,7022.0,566330106,2005,0.0,-0.22930561857564108
20050104,98338,10Q,10305.0,872885207,2005,0.0,0.0
20050104,886137,10Q,25357.0,317923100,2005,0.0,0.33403097920947605
20050104,886158,10Q,25338.0,075896100,2005,0.0,0.17611314190758598
20050104,1100389,10Q,132502.0,696643105,2005,0.0,-0.5035473862472846
20050105,1750,10Q,1004.0,000361105,2005,0.0,0.0
20050105,66382,10Q,7401.0,600544100,2005,0.0,0.0
20050105,75288,10Q,8219.0,691497309,2005,0.0,0.06519604154995509
20050105,738076,10Q,10553.0,885535104,2005,0.0,-0.4304371585971431
20050105,835541,10Q,17110.0,834182107,2005,0.0,-0.4533727179313528
20050105,857323,10Q,25807.0,400518106,2005,0.0,-0.1565376321474711
20050105,1050825,10Q,66290.0,858155203,2005,0.0,0.21068576679510229
20050106,23217,10Q,3362.0,205887102,2005,0.0,0.43546944856643677
20050106,33619,10K,4460.0,297425100,2005,0.0,0.0
